invoice_id,invoice_line_id,linked_order_line_id,quantity,net_price,sales_amount,invoice_date,status
INV_000037,IL_000037,OL_000032,3,192.8,578.4000000000001,2024-01-08,invoiced
INV_000052,IL_000052,OL_000046,3,202.01,606.03,2024-01-09,partial
INV_000031,IL_000031,OL_000026,2,191.95,383.9,2024-01-10,delayed
INV_000061,IL_000061,OL_000054,2,163.45,326.9,2024-01-10,partial
INV_000046,IL_000046,OL_000041,4,248.57,994.28,2024-01-11,partial
INV_000059,IL_000059,OL_000052,2,341.96,683.92,2024-01-11,invoiced
INV_000064,IL_000064,OL_000056,2,208.79,417.58,2024-01-11,partial
INV_000051,IL_000051,OL_000045,7,410.47,2873.29,2024-01-12,invoiced
INV_000057,IL_000057,OL_000050,5,531.57,2657.8500000000004,2024-01-12,invoiced
INV_000063,IL_000063,OL_000055,4,419.22,1676.88,2024-01-12,invoiced
INV_000007,IL_000007,OL_000006,2,597.06,1194.12,2024-01-13,delayed
INV_000044,IL_000044,OL_000039,2,349.01,698.02,2024-01-13,invoiced
INV_000045,IL_000045,OL_000040,5,403.4,2017.0,2024-01-13,invoiced
INV_000050,IL_000050,OL_000044,9,156.78,1411.02,2024-01-13,invoiced
INV_000066,IL_000066,OL_000057,3,187.36,562.08,2024-01-13,invoiced
INV_000048,IL_000048,OL_000042,2,874.51,1749.02,2024-01-14,invoiced
INV_000058,IL_000058,OL_000051,5,191.87,959.35,2024-01-14,invoiced
INV_000043,IL_000043,OL_000038,10,180.06,1800.6,2024-01-15,invoiced
INV_000049,IL_000049,OL_000043,4,608.65,2434.6,2024-01-15,invoiced
INV_000053,IL_000053,OL_000046,2,202.01,404.02,2024-01-15,delayed
INV_000054,IL_000054,OL_000047,3,980.12,2940.36,2024-01-15,invoiced
INV_000055,IL_000055,OL_000048,2,729.65,1459.3,2024-01-15,invoiced
INV_000056,IL_000056,OL_000049,1,625.79,625.79,2024-01-15,invoiced
INV_000060,IL_000060,OL_000053,1,602.45,602.45,2024-01-15,invoiced
INV_000065,IL_000065,OL_000056,1,208.79,208.79,2024-01-16,delayed
INV_000074,IL_000074,OL_000064,5,163.67,818.3499999999999,2024-01-16,partial
INV_000076,IL_000076,OL_000065,4,411.6,1646.4,2024-01-16,partial
INV_000087,IL_000087,OL_000073,3,400.39,1201.17,2024-01-16,partial
INV_000067,IL_000067,OL_000058,11,177.03,1947.33,2024-01-17,invoiced
INV_000071,IL_000071,OL_000062,2,876.1,1752.2,2024-01-17,invoiced
INV_000078,IL_000078,OL_000066,4,210.06,840.24,2024-01-17,partial
INV_000083,IL_000083,OL_000070,4,518.4,2073.6,2024-01-17,partial
INV_000085,IL_000085,OL_000071,5,192.32,961.5999999999999,2024-01-17,invoiced
INV_000086,IL_000086,OL_000072,10,180.66,1806.6,2024-01-17,invoiced
INV_000092,IL_000092,OL_000077,9,159.3,1433.7,2024-01-17,invoiced
INV_000093,IL_000093,OL_000078,6,420.0,2520.0,2024-01-17,invoiced
INV_000095,IL_000095,OL_000080,3,974.06,2922.18,2024-01-17,invoiced
INV_000096,IL_000096,OL_000081,2,758.07,1516.14,2024-01-17,invoiced
INV_000098,IL_000098,OL_000083,5,185.77,928.85,2024-01-17,invoiced
INV_000101,IL_000101,OL_000086,3,162.95,488.84999999999997,2024-01-17,invoiced
INV_000103,IL_000103,OL_000088,3,203.96,611.88,2024-01-17,invoiced
INV_000105,IL_000105,OL_000090,4,178.13,712.52,2024-01-17,invoiced
INV_000062,IL_000062,OL_000054,1,163.45,163.45,2024-01-18,delayed
INV_000072,IL_000072,OL_000063,1,594.31,594.31,2024-01-18,partial
INV_000081,IL_000081,OL_000068,2,749.04,1498.08,2024-01-18,invoiced
INV_000099,IL_000099,OL_000084,2,352.16,704.32,2024-01-18,invoiced
INV_000106,IL_000106,OL_000091,1,342.58,342.58,2024-01-18,invoiced
INV_000068,IL_000068,OL_000059,2,337.46,674.92,2024-01-19,invoiced
INV_000069,IL_000069,OL_000060,5,407.51,2037.55,2024-01-20,invoiced
INV_000080,IL_000080,OL_000067,3,953.66,2860.98,2024-01-20,invoiced
INV_000082,IL_000082,OL_000069,1,638.1,638.1,2024-01-20,invoiced
INV_000107,IL_000107,OL_000092,2,601.67,1203.34,2024-01-20,invoiced
INV_000090,IL_000090,OL_000075,2,871.68,1743.36,2024-01-21,invoiced
INV_000091,IL_000091,OL_000076,2,606.91,1213.82,2024-01-21,invoiced
INV_000097,IL_000097,OL_000082,5,510.18,2550.9,2024-01-21,invoiced
INV_000102,IL_000102,OL_000087,4,408.49,1633.96,2024-01-21,invoiced
INV_000104,IL_000104,OL_000089,3,187.67,563.01,2024-01-21,invoiced
INV_000108,IL_000108,OL_000093,3,206.0,618.0,2024-01-21,invoiced
INV_000109,IL_000109,OL_000094,2,514.59,1029.18,2024-01-21,invoiced
INV_000047,IL_000047,OL_000041,2,248.57,497.14,2024-01-22,delayed
INV_000070,IL_000070,OL_000061,6,254.73,1528.3799999999999,2024-01-22,invoiced
INV_000075,IL_000075,OL_000064,4,163.67,654.68,2024-01-22,delayed
INV_000089,IL_000089,OL_000074,6,252.93,1517.58,2024-01-22,invoiced
INV_000094,IL_000094,OL_000079,4,210.58,842.32,2024-01-22,invoiced
INV_000100,IL_000100,OL_000085,1,610.99,610.99,2024-01-22,invoiced
INV_000123,IL_000123,OL_000107,3,527.46,1582.38,2024-01-23,partial
INV_000079,IL_000079,OL_000066,2,210.06,420.12,2024-01-24,delayed
INV_000088,IL_000088,OL_000073,2,400.39,800.78,2024-01-24,delayed
INV_000111,IL_000111,OL_000096,2,352.32,704.64,2024-01-24,invoiced
INV_000112,IL_000112,OL_000097,4,391.93,1567.72,2024-01-24,partial
INV_000121,IL_000121,OL_000105,2,734.67,1469.34,2024-01-24,invoiced
INV_000122,IL_000122,OL_000106,1,620.97,620.97,2024-01-24,invoiced
INV_000128,IL_000128,OL_000111,3,164.4,493.20000000000005,2024-01-24,invoiced
INV_000077,IL_000077,OL_000065,3,411.6,1234.8000000000002,2024-01-25,delayed
INV_000116,IL_000116,OL_000100,3,592.31,1776.9299999999998,2024-01-25,invoiced
INV_000117,IL_000117,OL_000101,9,160.94,1448.46,2024-01-25,invoiced
INV_000114,IL_000114,OL_000098,6,254.57,1527.42,2024-01-26,invoiced
INV_000129,IL_000129,OL_000112,4,412.55,1650.2,2024-01-26,invoiced
INV_000131,IL_000131,OL_000114,3,191.14,573.42,2024-01-26,invoiced
INV_000073,IL_000073,OL_000063,2,594.31,1188.62,2024-01-27,delayed
INV_000084,IL_000084,OL_000070,2,518.4,1036.8,2024-01-27,delayed
INV_000115,IL_000115,OL_000099,2,850.85,1701.7,2024-01-27,invoiced
INV_000118,IL_000118,OL_000102,7,402.25,2815.75,2024-01-27,invoiced
INV_000127,IL_000127,OL_000110,2,588.15,1176.3,2024-01-27,invoiced
INV_000125,IL_000125,OL_000108,5,189.59,947.95,2024-01-28,invoiced
INV_000126,IL_000126,OL_000109,2,343.77,687.54,2024-01-28,invoiced
INV_000110,IL_000110,OL_000095,11,172.38,1896.1799999999998,2024-01-29,invoiced
INV_000119,IL_000119,OL_000103,5,203.18,1015.9000000000001,2024-01-29,invoiced
INV_000120,IL_000120,OL_000104,3,952.06,2856.18,2024-01-29,invoiced
INV_000124,IL_000124,OL_000107,2,527.46,1054.92,2024-01-29,delayed
INV_000130,IL_000130,OL_000113,3,201.45,604.3499999999999,2024-01-29,invoiced
INV_000139,IL_000139,OL_000122,4,407.46,1629.84,2024-01-30,partial
INV_000166,IL_000166,OL_000144,2,410.76,821.52,2024-01-30,partial
INV_000134,IL_000134,OL_000117,6,409.44,2456.64,2024-01-31,invoiced
INV_000160,IL_000160,OL_000139,5,514.01,2570.05,2024-01-31,invoiced
INV_000163,IL_000163,OL_000142,1,614.81,614.81,2024-01-31,invoiced
INV_000138,IL_000138,OL_000121,9,161.93,1457.3700000000001,2024-02-01,invoiced
INV_000144,IL_000144,OL_000126,1,621.14,621.14,2024-02-01,invoiced
INV_000146,IL_000146,OL_000128,2,184.24,368.48,2024-02-01,partial
INV_000148,IL_000148,OL_000129,10,178.6,1786.0,2024-02-01,invoiced
INV_000149,IL_000149,OL_000130,5,413.85,2069.25,2024-02-01,invoiced
INV_000155,IL_000155,OL_000136,2,207.87,415.74,2024-02-01,partial
INV_000157,IL_000157,OL_000137,2,950.09,1900.18,2024-02-01,partial
INV_000164,IL_000164,OL_000143,2,160.48,320.96,2024-02-01,partial
INV_000168,IL_000168,OL_000145,2,206.86,413.72,2024-02-01,partial
INV_000113,IL_000113,OL_000097,2,391.93,783.86,2024-02-02,delayed
INV_000145,IL_000145,OL_000127,5,520.95,2604.75,2024-02-02,invoiced
INV_000154,IL_000154,OL_000135,6,406.49,2438.94,2024-02-02,invoiced
INV_000159,IL_000159,OL_000138,2,751.25,1502.5,2024-02-02,invoiced
INV_000162,IL_000162,OL_000141,2,344.78,689.56,2024-02-02,invoiced
INV_000133,IL_000133,OL_000116,2,345.81,691.62,2024-02-03,invoiced
INV_000135,IL_000135,OL_000118,6,256.05,1536.3000000000002,2024-02-03,invoiced
INV_000137,IL_000137,OL_000120,4,586.33,2345.32,2024-02-03,invoiced
INV_000150,IL_000150,OL_000131,6,259.81,1558.8600000000001,2024-02-03,invoiced
INV_000161,IL_000161,OL_000140,4,188.51,754.04,2024-02-03,invoiced
INV_000136,IL_000136,OL_000119,2,889.01,1778.02,2024-02-04,invoiced
INV_000141,IL_000141,OL_000123,5,208.06,1040.3,2024-02-04,invoiced
INV_000142,IL_000142,OL_000124,3,932.25,2796.75,2024-02-04,invoiced
INV_000143,IL_000143,OL_000125,2,746.72,1493.44,2024-02-04,invoiced
INV_000132,IL_000132,OL_000115,10,176.72,1767.2,2024-02-05,invoiced
INV_000151,IL_000151,OL_000132,2,873.37,1746.74,2024-02-05,invoiced
INV_000152,IL_000152,OL_000133,2,589.75,1179.5,2024-02-05,invoiced
INV_000153,IL_000153,OL_000134,9,162.13,1459.17,2024-02-05,invoiced
INV_000170,IL_000170,OL_000146,3,187.77,563.3100000000001,2024-02-05,invoiced
INV_000167,IL_000167,OL_000144,2,410.76,821.52,2024-02-06,delayed
INV_000184,IL_000184,OL_000159,4,526.0,2104.0,2024-02-06,partial
INV_000186,IL_000186,OL_000160,3,193.87,581.61,2024-02-06,partial
INV_000173,IL_000173,OL_000149,5,403.24,2016.2,2024-02-07,invoiced
INV_000175,IL_000175,OL_000151,2,856.93,1713.86,2024-02-07,invoiced
INV_000177,IL_000177,OL_000153,5,163.36,816.8000000000001,2024-02-07,partial
INV_000180,IL_000180,OL_000155,6,204.35,1226.1,2024-02-07,invoiced
INV_000190,IL_000190,OL_000163,3,165.89,497.66999999999996,2024-02-07,invoiced
INV_000192,IL_000192,OL_000165,2,205.8,411.6,2024-02-07,partial
INV_000194,IL_000194,OL_000166,3,189.12,567.36,2024-02-07,invoiced
INV_000171,IL_000171,OL_000147,10,176.69,1766.9,2024-02-08,invoiced
INV_000174,IL_000174,OL_000150,6,257.08,1542.48,2024-02-08,invoiced
INV_000181,IL_000181,OL_000156,3,974.32,2922.96,2024-02-08,invoiced
INV_000140,IL_000140,OL_000122,3,407.46,1222.3799999999999,2024-02-09,delayed
INV_000176,IL_000176,OL_000152,3,604.15,1812.4499999999998,2024-02-10,invoiced
INV_000147,IL_000147,OL_000128,3,184.24,552.72,2024-02-11,delayed
INV_000156,IL_000156,OL_000136,2,207.87,415.74,2024-02-11,delayed
INV_000158,IL_000158,OL_000137,1,950.09,950.09,2024-02-11,delayed
INV_000169,IL_000169,OL_000145,1,206.86,206.86,2024-02-11,delayed
INV_000179,IL_000179,OL_000154,7,400.33,2802.31,2024-02-11,invoiced
INV_000182,IL_000182,OL_000157,2,750.98,1501.96,2024-02-11,invoiced
INV_000188,IL_000188,OL_000161,2,340.17,680.34,2024-02-11,invoiced
INV_000165,IL_000165,OL_000143,1,160.48,160.48,2024-02-12,delayed
INV_000172,IL_000172,OL_000148,2,341.3,682.6,2024-02-12,invoiced
INV_000183,IL_000183,OL_000158,1,638.01,638.01,2024-02-12,invoiced
INV_000189,IL_000189,OL_000162,2,591.23,1182.46,2024-02-12,invoiced
INV_000191,IL_000191,OL_000164,3,415.84,1247.52,2024-02-12,invoiced
INV_000178,IL_000178,OL_000153,4,163.36,653.44,2024-02-13,delayed
INV_000187,IL_000187,OL_000160,2,193.87,387.74,2024-02-13,delayed
INV_000221,IL_000221,OL_000189,2,939.04,1878.08,2024-02-13,partial
INV_000199,IL_000199,OL_000171,2,898.37,1796.74,2024-02-14,invoiced
INV_000205,IL_000205,OL_000175,3,205.36,616.08,2024-02-14,partial
INV_000208,IL_000208,OL_000177,2,742.27,1484.54,2024-02-14,invoiced
INV_000210,IL_000210,OL_000179,5,509.17,2545.85,2024-02-14,invoiced
INV_000214,IL_000214,OL_000182,5,397.08,1985.3999999999999,2024-02-14,invoiced
INV_000217,IL_000217,OL_000185,2,591.55,1183.1,2024-02-14,invoiced
INV_000225,IL_000225,OL_000192,3,194.13,582.39,2024-02-14,partial
INV_000227,IL_000227,OL_000193,2,348.74,697.48,2024-02-14,invoiced
INV_000231,IL_000231,OL_000197,3,207.41,622.23,2024-02-14,invoiced
INV_000200,IL_000200,OL_000172,2,608.31,1216.62,2024-02-15,partial
INV_000202,IL_000202,OL_000173,5,166.03,830.15,2024-02-15,partial
INV_000211,IL_000211,OL_000180,3,187.19,561.5699999999999,2024-02-15,partial
INV_000213,IL_000213,OL_000181,9,177.06,1593.54,2024-02-15,invoiced
INV_000232,IL_000232,OL_000198,3,190.03,570.09,2024-02-15,invoiced
INV_000233,IL_000233,OL_000199,3,178.85,536.55,2024-02-15,invoiced
INV_000196,IL_000196,OL_000168,2,342.07,684.14,2024-02-16,invoiced
INV_000197,IL_000197,OL_000169,5,411.93,2059.65,2024-02-16,invoiced
INV_000207,IL_000207,OL_000176,3,939.67,2819.0099999999998,2024-02-16,invoiced
INV_000209,IL_000209,OL_000178,1,616.2,616.2,2024-02-16,invoiced
INV_000215,IL_000215,OL_000183,6,253.39,1520.34,2024-02-16,invoiced
INV_000218,IL_000218,OL_000186,9,161.43,1452.8700000000001,2024-02-16,invoiced
INV_000234,IL_000234,OL_000200,1,337.21,337.21,2024-02-16,invoiced
INV_000235,IL_000235,OL_000201,2,608.64,1217.28,2024-02-16,invoiced
INV_000237,IL_000237,OL_000203,2,516.29,1032.58,2024-02-16,invoiced
INV_000185,IL_000185,OL_000159,2,526.0,1052.0,2024-02-17,delayed
INV_000198,IL_000198,OL_000170,6,254.02,1524.1200000000001,2024-02-17,invoiced
INV_000216,IL_000216,OL_000184,2,882.89,1765.78,2024-02-17,invoiced
INV_000223,IL_000223,OL_000190,2,743.19,1486.38,2024-02-17,invoiced
INV_000224,IL_000224,OL_000191,5,526.29,2631.45,2024-02-17,invoiced
INV_000195,IL_000195,OL_000167,10,174.84,1748.4,2024-02-18,invoiced
INV_000219,IL_000219,OL_000187,6,397.31,2383.86,2024-02-18,invoiced
INV_000228,IL_000228,OL_000194,1,600.54,600.54,2024-02-18,invoiced
INV_000236,IL_000236,OL_000202,3,204.47,613.41,2024-02-18,invoiced
INV_000204,IL_000204,OL_000174,7,414.11,2898.77,2024-02-19,invoiced
INV_000220,IL_000220,OL_000188,4,211.01,844.04,2024-02-19,invoiced
INV_000229,IL_000229,OL_000195,3,164.01,492.03,2024-02-19,invoiced
INV_000230,IL_000230,OL_000196,5,372.04,1860.2,2024-02-19,invoiced
INV_000193,IL_000193,OL_000165,1,205.8,205.8,2024-02-20,delayed
INV_000256,IL_000256,OL_000221,3,363.34,1090.02,2024-02-20,partial
INV_000212,IL_000212,OL_000180,2,187.19,374.38,2024-02-21,delayed
INV_000249,IL_000249,OL_000215,1,637.85,637.85,2024-02-21,invoiced
INV_000251,IL_000251,OL_000217,3,185.37,556.11,2024-02-21,partial
INV_000255,IL_000255,OL_000220,3,161.94,485.82,2024-02-21,invoiced
INV_000258,IL_000258,OL_000222,3,197.57,592.71,2024-02-21,invoiced
INV_000250,IL_000250,OL_000216,5,518.1,2590.5,2024-02-22,invoiced
INV_000254,IL_000254,OL_000219,1,585.66,585.66,2024-02-22,invoiced
INV_000206,IL_000206,OL_000175,2,205.36,410.72,2024-02-23,delayed
INV_000238,IL_000238,OL_000204,10,172.07,1720.6999999999998,2024-02-23,invoiced
INV_000245,IL_000245,OL_000211,7,409.76,2868.3199999999997,2024-02-23,invoiced
INV_000247,IL_000247,OL_000213,3,952.28,2856.84,2024-02-23,invoiced
INV_000240,IL_000240,OL_000206,5,395.54,1977.7,2024-02-24,invoiced
INV_000244,IL_000244,OL_000210,9,157.37,1416.33,2024-02-24,invoiced
INV_000246,IL_000246,OL_000212,5,205.47,1027.35,2024-02-24,invoiced
INV_000241,IL_000241,OL_000207,6,252.01,1512.06,2024-02-25,invoiced
INV_000243,IL_000243,OL_000209,3,590.17,1770.5099999999998,2024-02-25,invoiced
INV_000248,IL_000248,OL_000214,2,740.72,1481.44,2024-02-25,invoiced
INV_000253,IL_000253,OL_000218,1,345.96,345.96,2024-02-25,invoiced
INV_000201,IL_000201,OL_000172,1,608.31,608.31,2024-02-26,delayed
INV_000222,IL_000222,OL_000189,1,939.04,939.04,2024-02-26,delayed
INV_000239,IL_000239,OL_000205,2,339.19,678.38,2024-02-26,invoiced
INV_000242,IL_000242,OL_000208,2,872.64,1745.28,2024-02-26,invoiced
INV_000259,IL_000259,OL_000223,3,192.58,577.74,2024-02-26,invoiced
INV_000203,IL_000203,OL_000173,4,166.03,664.12,2024-02-27,delayed
INV_000226,IL_000226,OL_000192,1,194.13,194.13,2024-02-27,delayed
INV_000260,IL_000260,OL_000224,5,176.21,881.0500000000001,2024-02-27,partial
INV_000278,IL_000278,OL_000240,3,258.74,776.22,2024-02-27,partial
INV_000294,IL_000294,OL_000254,2,204.47,408.94,2024-02-27,partial
INV_000296,IL_000296,OL_000255,1,190.85,190.85,2024-02-27,partial
INV_000262,IL_000262,OL_000225,2,341.49,682.98,2024-02-28,invoiced
INV_000263,IL_000263,OL_000226,5,400.73,2003.65,2024-02-28,invoiced
INV_000275,IL_000275,OL_000237,5,193.57,967.8499999999999,2024-02-28,invoiced
INV_000284,IL_000284,OL_000245,4,206.7,826.8,2024-02-28,invoiced
INV_000264,IL_000264,OL_000227,4,259.86,1039.44,2024-02-29,partial
INV_000267,IL_000267,OL_000229,3,591.24,1773.72,2024-02-29,invoiced
INV_000269,IL_000269,OL_000231,7,418.83,2931.81,2024-02-29,invoiced
INV_000273,IL_000273,OL_000235,1,632.28,632.28,2024-02-29,invoiced
INV_000283,IL_000283,OL_000244,6,401.29,2407.7400000000002,2024-02-29,invoiced
INV_000287,IL_000287,OL_000248,3,512.68,1538.04,2024-02-29,partial
INV_000289,IL_000289,OL_000249,5,189.4,947.0,2024-02-29,invoiced
INV_000266,IL_000266,OL_000228,2,878.36,1756.72,2024-03-01,invoiced
INV_000286,IL_000286,OL_000247,2,729.88,1459.76,2024-03-01,invoiced
INV_000293,IL_000293,OL_000253,4,406.09,1624.36,2024-03-01,invoiced
INV_000252,IL_000252,OL_000217,2,185.37,370.74,2024-03-02,delayed
INV_000257,IL_000257,OL_000221,2,363.34,726.68,2024-03-02,delayed
INV_000268,IL_000268,OL_000230,9,160.83,1447.47,2024-03-02,invoiced
INV_000271,IL_000271,OL_000233,3,933.41,2800.23,2024-03-02,invoiced
INV_000261,IL_000261,OL_000224,5,176.21,881.0500000000001,2024-03-03,delayed
INV_000272,IL_000272,OL_000234,2,756.81,1513.62,2024-03-03,invoiced
INV_000280,IL_000280,OL_000241,1,873.85,873.85,2024-03-03,invoiced
INV_000282,IL_000282,OL_000243,8,160.98,1287.84,2024-03-03,invoiced
INV_000285,IL_000285,OL_000246,3,968.67,2906.0099999999998,2024-03-03,invoiced
INV_000291,IL_000291,OL_000251,2,603.58,1207.16,2024-03-03,invoiced
INV_000270,IL_000270,OL_000232,5,207.1,1035.5,2024-03-04,invoiced
INV_000274,IL_000274,OL_000236,5,521.29,2606.45,2024-03-04,invoiced
INV_000276,IL_000276,OL_000238,10,173.61,1736.1000000000001,2024-03-04,invoiced
INV_000277,IL_000277,OL_000239,5,404.34,2021.6999999999998,2024-03-04,invoiced
INV_000281,IL_000281,OL_000242,2,593.27,1186.54,2024-03-04,invoiced
INV_000290,IL_000290,OL_000250,2,349.21,698.42,2024-03-04,invoiced
INV_000292,IL_000292,OL_000252,3,163.68,491.04,2024-03-04,invoiced
INV_000295,IL_000295,OL_000254,1,204.47,204.47,2024-03-04,delayed
INV_000297,IL_000297,OL_000255,2,190.85,381.7,2024-03-04,delayed
INV_000304,IL_000304,OL_000261,2,589.68,1179.36,2024-03-05,partial
INV_000310,IL_000310,OL_000265,1,924.07,924.07,2024-03-05,partial
INV_000300,IL_000300,OL_000258,5,404.63,2023.15,2024-03-06,invoiced
INV_000306,IL_000306,OL_000262,5,162.35,811.75,2024-03-06,partial
INV_000308,IL_000308,OL_000263,7,417.78,2924.46,2024-03-06,invoiced
INV_000309,IL_000309,OL_000264,5,204.34,1021.7,2024-03-06,invoiced
INV_000316,IL_000316,OL_000270,2,347.48,694.96,2024-03-06,invoiced
INV_000318,IL_000318,OL_000272,1,160.9,160.9,2024-03-06,partial
INV_000321,IL_000321,OL_000274,2,202.93,405.86,2024-03-06,partial
INV_000265,IL_000265,OL_000227,2,259.86,519.72,2024-03-07,delayed
INV_000301,IL_000301,OL_000259,3,245.71,737.13,2024-03-07,partial
INV_000313,IL_000313,OL_000267,1,640.95,640.95,2024-03-07,invoiced
INV_000323,IL_000323,OL_000275,1,190.64,190.64,2024-03-07,partial
INV_000279,IL_000279,OL_000240,3,258.74,776.22,2024-03-08,delayed
INV_000315,IL_000315,OL_000269,5,189.8,949.0,2024-03-08,invoiced
INV_000326,IL_000326,OL_000277,1,159.12,159.12,2024-03-08,invoiced
INV_000317,IL_000317,OL_000271,1,597.98,597.98,2024-03-09,invoiced
INV_000325,IL_000325,OL_000276,1,866.14,866.14,2024-03-10,invoiced
INV_000288,IL_000288,OL_000248,2,512.68,1025.36,2024-03-11,delayed
INV_000298,IL_000298,OL_000256,10,171.33,1713.3000000000002,2024-03-11,invoiced
INV_000299,IL_000299,OL_000257,2,345.02,690.04,2024-03-11,invoiced
INV_000303,IL_000303,OL_000260,2,883.89,1767.78,2024-03-11,invoiced
INV_000312,IL_000312,OL_000266,2,743.83,1487.66,2024-03-11,invoiced
INV_000314,IL_000314,OL_000268,5,513.37,2566.85,2024-03-11,invoiced
INV_000320,IL_000320,OL_000273,4,410.37,1641.48,2024-03-11,invoiced
INV_000322,IL_000322,OL_000274,1,202.93,202.93,2024-03-11,delayed
INV_000327,IL_000327,OL_000278,1,414.32,414.32,2024-03-11,invoiced
INV_000328,IL_000328,OL_000279,2,639.92,1279.84,2024-03-11,invoiced
INV_000305,IL_000305,OL_000261,1,589.68,589.68,2024-03-12,delayed
INV_000311,IL_000311,OL_000265,2,924.07,1848.14,2024-03-12,delayed
INV_000360,IL_000360,OL_000311,2,191.98,383.96,2024-03-12,partial
INV_000302,IL_000302,OL_000259,3,245.71,737.13,2024-03-13,delayed
INV_000342,IL_000342,OL_000293,5,191.16,955.8,2024-03-13,invoiced
INV_000344,IL_000344,OL_000295,5,397.15,1985.75,2024-03-13,invoiced
INV_000353,IL_000353,OL_000304,4,525.14,2100.56,2024-03-13,invoiced
INV_000354,IL_000354,OL_000305,4,189.03,756.12,2024-03-13,invoiced
INV_000369,IL_000369,OL_000319,2,208.51,417.02,2024-03-13,partial
INV_000371,IL_000371,OL_000320,2,513.5,1027.0,2024-03-13,invoiced
INV_000335,IL_000335,OL_000286,9,157.83,1420.47,2024-03-14,invoiced
INV_000341,IL_000341,OL_000292,5,510.03,2550.1499999999996,2024-03-14,invoiced
INV_000345,IL_000345,OL_000296,6,260.85,1565.1000000000001,2024-03-14,invoiced
INV_000347,IL_000347,OL_000298,2,607.2,1214.4,2024-03-14,invoiced
INV_000364,IL_000364,OL_000314,1,411.01,411.01,2024-03-14,invoiced
INV_000334,IL_000334,OL_000285,3,599.98,1799.94,2024-03-15,invoiced
INV_000343,IL_000343,OL_000294,9,176.06,1584.54,2024-03-15,invoiced
INV_000351,IL_000351,OL_000302,2,937.08,1874.16,2024-03-15,invoiced
INV_000356,IL_000356,OL_000307,2,597.12,1194.24,2024-03-15,invoiced
INV_000329,IL_000329,OL_000280,10,175.96,1759.6000000000001,2024-03-16,invoiced
