date,year,month,week_number,year_week,customer_id,product_id,relationship_strength,list_price,category_l1,category_l2,effort_type,substitute_type,scenario_role,platform_type,baseline_qty,adjusted_qty,event_delta,event_id,event_type,event_layer,promo_id,recall_case_id
2024-01-01,2024,1,1,2024-W01,CUST_E,P10,0.28,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.061183298687288404,0.061183298687288404,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_E,P14,0.34,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.10660962986173766,0.10660962986173766,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_E,P4,0.46,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.19561500000000007,0.19561500000000007,0.0,,,0,,
2024-01-01,2024,1,1,2024-W01,CUST_E,P8,0.38,530.0,Repair,Sensors,mixed,limited,hidden_drop,All,0.14901265072707606,0.14901265072707606,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P1,1.0,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,1.9822655192064575,1.9822655192064575,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P10,0.55,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.36911438034327887,0.36911438034327887,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P11,0.85,410.0,Powertrain,Ignition,effort_less,direct,new_normal_ice_decline,ICE,0.9644119815631031,0.9644119815631031,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P12,0.88,260.0,Powertrain,Fuel,effort_less,direct,new_normal_ice_decline,ICE,1.1738617052268796,1.1738617052268796,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P13,0.5,890.0,EV Service,Thermal,effort_driven,limited,new_normal_ev_growth,EV,0.42708969025009963,0.42708969025009963,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P14,0.72,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.6700788466443047,0.6700788466443047,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P2,1.0,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,1.9319906362423467,1.9319906362423467,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P3,0.95,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,1.4822792173941448,1.4822792173941448,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P4,0.9,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,1.0811702851357319,1.0811702851357319,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P5,0.8,980.0,Repair,Electrical,mixed,project_specific,one_off_bulk,ICE,0.6988109582629425,0.6988109582629425,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P6,0.85,760.0,Repair,Cooling,effort_driven,none,recall_warranty,ICE,0.42440471709674,0.42440471709674,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P7,0.4,640.0,Dealer Launch,Starter Pack,mixed,bundle,new_dealer,All,0.3139230844040189,0.3139230844040189,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P8,0.95,530.0,Repair,Sensors,mixed,limited,hidden_drop,All,1.0696928319232826,1.0696928319232826,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_A,P9,0.75,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,1.0514851752824779,1.0514851752824779,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P1,0.82,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,1.0274530626288891,1.0274530626288891,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P11,0.7,410.0,Powertrain,Ignition,effort_less,direct,new_normal_ice_decline,ICE,0.5166025001372149,0.5166025001372149,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P12,0.74,260.0,Powertrain,Fuel,effort_less,direct,new_normal_ice_decline,ICE,0.6207685374119366,0.6207685374119366,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P13,0.35,890.0,EV Service,Thermal,effort_driven,limited,new_normal_ev_growth,EV,0.17715721884131141,0.17715721884131141,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P14,0.42,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.21134332231374978,0.21134332231374978,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P2,0.86,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,0.909604172507913,0.909604172507913,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P3,0.7,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,0.5453332297281493,0.5453332297281493,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P4,0.62,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.37328970941959116,0.37328970941959116,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P5,0.55,980.0,Repair,Electrical,mixed,project_specific,one_off_bulk,ICE,0.24621108112362824,0.24621108112362824,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P6,0.65,760.0,Repair,Cooling,effort_driven,none,recall_warranty,ICE,0.18196599189922683,0.18196599189922683,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P8,0.72,530.0,Repair,Sensors,mixed,limited,hidden_drop,All,0.45533006659571623,0.45533006659571623,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_B,P9,0.58,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,0.40558306554233886,0.40558306554233886,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_C,P10,0.9,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.34236060284120534,0.34236060284120534,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_C,P14,0.6,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.33830518373727625,0.33830518373727625,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_C,P2,0.65,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,0.6830894497665756,0.6830894497665756,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_C,P3,1.0,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,0.7948439437265641,0.7948439437265641,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_C,P4,0.95,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.6071542488310134,0.6071542488310134,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_C,P9,0.92,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,0.690997963913076,0.690997963913076,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_E,P1,0.3,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,0.2005250611857374,0.2005250611857374,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_E,P10,0.28,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.04538284163832609,0.04538284163832609,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_E,P14,0.34,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.09124455204579152,0.09124455204579152,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_E,P4,0.46,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.15482156553704698,0.15482156553704698,0.0,,,0,,
2024-01-02,2024,1,1,2024-W01,CUST_E,P8,0.38,530.0,Repair,Sensors,mixed,limited,hidden_drop,All,0.14876999999999999,0.14876999999999999,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P1,1.0,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,2.1813416928751654,2.1813416928751654,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P10,0.55,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.4137200705421842,0.4137200705421842,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P11,0.85,410.0,Powertrain,Ignition,effort_less,direct,new_normal_ice_decline,ICE,1.0227227427192398,1.0227227427192398,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P12,0.88,260.0,Powertrain,Fuel,effort_less,direct,new_normal_ice_decline,ICE,1.2463304876161738,1.2463304876161738,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P13,0.5,890.0,EV Service,Thermal,effort_driven,limited,new_normal_ev_growth,EV,0.40774891427591065,0.40774891427591065,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P14,0.72,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.7354837692573066,0.7354837692573066,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P2,1.0,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,1.7560243109924005,1.7560243109924005,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P3,0.95,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,1.3201842885760584,1.3201842885760584,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P4,0.9,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,1.0592246703570134,1.0592246703570134,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P5,0.8,980.0,Repair,Electrical,mixed,project_specific,one_off_bulk,ICE,0.6745031307982713,0.6745031307982713,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P6,0.85,760.0,Repair,Cooling,effort_driven,none,recall_warranty,ICE,0.44551080448171276,0.44551080448171276,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P7,0.4,640.0,Dealer Launch,Starter Pack,mixed,bundle,new_dealer,All,0.2764379800128652,0.2764379800128652,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P8,0.95,530.0,Repair,Sensors,mixed,limited,hidden_drop,All,1.123767236169844,1.123767236169844,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_A,P9,0.75,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,1.0527699420809344,1.0527699420809344,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P1,0.82,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,1.0575101698915885,1.0575101698915885,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P11,0.7,410.0,Powertrain,Ignition,effort_less,direct,new_normal_ice_decline,ICE,0.47369257864950165,0.47369257864950165,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P12,0.74,260.0,Powertrain,Fuel,effort_less,direct,new_normal_ice_decline,ICE,0.6152679242092532,0.6152679242092532,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P13,0.35,890.0,EV Service,Thermal,effort_driven,limited,new_normal_ev_growth,EV,0.16146538146179912,0.16146538146179912,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P14,0.42,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.22379309153089108,0.22379309153089108,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P2,0.86,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,0.8995833241535316,0.8995833241535316,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P3,0.7,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,0.6184785876688587,0.6184785876688587,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P4,0.62,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.44975341633774746,0.44975341633774746,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P5,0.55,980.0,Repair,Electrical,mixed,project_specific,one_off_bulk,ICE,0.25886936893770296,0.25886936893770296,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P6,0.65,760.0,Repair,Cooling,effort_driven,none,recall_warranty,ICE,0.16738114021840905,0.16738114021840905,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P8,0.72,530.0,Repair,Sensors,mixed,limited,hidden_drop,All,0.5110001971766103,0.5110001971766103,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_B,P9,0.58,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,0.523705940481184,0.523705940481184,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_C,P10,0.9,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.3070305339784198,0.3070305339784198,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_C,P14,0.6,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.28376469950138705,0.28376469950138705,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_C,P2,0.65,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,0.5622358830811389,0.5622358830811389,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_C,P3,1.0,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,0.7529167332552432,0.7529167332552432,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_C,P4,0.95,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.5678538257620128,0.5678538257620128,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_C,P9,0.92,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,0.7855409006870716,0.7855409006870716,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_E,P1,0.3,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,0.19427689579902693,0.19427689579902693,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_E,P10,0.28,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.05624622506420238,0.05624622506420238,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_E,P14,0.34,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.11016000000000001,0.11016000000000001,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_E,P4,0.46,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.18381665110959636,0.18381665110959636,0.0,,,0,,
2024-01-03,2024,1,1,2024-W01,CUST_E,P8,0.38,530.0,Repair,Sensors,mixed,limited,hidden_drop,All,0.1345631063016413,0.1345631063016413,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P1,1.0,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,2.202480168081408,2.202480168081408,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P10,0.55,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.40960645720192945,0.40960645720192945,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P11,0.85,410.0,Powertrain,Ignition,effort_less,direct,new_normal_ice_decline,ICE,1.1670596883900963,1.1670596883900963,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P12,0.88,260.0,Powertrain,Fuel,effort_less,direct,new_normal_ice_decline,ICE,1.175463351268695,1.175463351268695,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P13,0.5,890.0,EV Service,Thermal,effort_driven,limited,new_normal_ev_growth,EV,0.3174283272731606,0.3174283272731606,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P14,0.72,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.6852352611510961,0.6852352611510961,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P2,1.0,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,1.93687253662825,1.93687253662825,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P3,0.95,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,1.4709101939490066,1.4709101939490066,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P4,0.9,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,1.1095022257329477,1.1095022257329477,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P5,0.8,980.0,Repair,Electrical,mixed,project_specific,one_off_bulk,ICE,0.6976671753211627,0.6976671753211627,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P6,0.85,760.0,Repair,Cooling,effort_driven,none,recall_warranty,ICE,0.40722041246505924,0.40722041246505924,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P7,0.4,640.0,Dealer Launch,Starter Pack,mixed,bundle,new_dealer,All,0.33229876413079434,0.33229876413079434,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P8,0.95,530.0,Repair,Sensors,mixed,limited,hidden_drop,All,1.088630021351925,1.088630021351925,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_A,P9,0.75,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,0.987890488467044,0.987890488467044,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P1,0.82,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,1.0617349029180818,1.0617349029180818,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P11,0.7,410.0,Powertrain,Ignition,effort_less,direct,new_normal_ice_decline,ICE,0.5147611157578591,0.5147611157578591,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P12,0.74,260.0,Powertrain,Fuel,effort_less,direct,new_normal_ice_decline,ICE,0.605448783986284,0.605448783986284,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P13,0.35,890.0,EV Service,Thermal,effort_driven,limited,new_normal_ev_growth,EV,0.16538287529421064,0.16538287529421064,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P14,0.42,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.25165866215502775,0.25165866215502775,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P2,0.86,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,0.7949185524693153,0.7949185524693153,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P3,0.7,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,0.571205110108066,0.571205110108066,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P4,0.62,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.4447337927645688,0.4447337927645688,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P5,0.55,980.0,Repair,Electrical,mixed,project_specific,one_off_bulk,ICE,0.2586660709552887,0.2586660709552887,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P6,0.65,760.0,Repair,Cooling,effort_driven,none,recall_warranty,ICE,0.1908801905449671,0.1908801905449671,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P8,0.72,530.0,Repair,Sensors,mixed,limited,hidden_drop,All,0.49031787678240346,0.49031787678240346,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_B,P9,0.58,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,0.5252115617697023,0.5252115617697023,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_C,P10,0.9,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.4072481894150482,0.4072481894150482,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_C,P14,0.6,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.2702673431650729,0.2702673431650729,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_C,P2,0.65,165.0,Maintenance,Filters,effort_less,direct,stable_baseline,All,0.6550487866397232,0.6550487866397232,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_C,P3,1.0,420.0,Service,Brakes,effort_driven,limited,recurring_promo,All,0.8061657650194035,0.8061657650194035,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_C,P4,0.95,210.0,Service,Visibility,effort_driven,direct,recurring_promo,All,0.5563622701456571,0.5563622701456571,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_C,P9,0.92,195.0,Maintenance,Filters,effort_driven,direct,promo_absence,All,0.5245386439511829,0.5245386439511829,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_E,P1,0.3,180.0,Maintenance,Filters,effort_less,direct,stable_baseline,ICE,0.1828569215778563,0.1828569215778563,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_E,P10,0.28,350.0,Accessories,Charging,effort_driven,direct,extreme_promo,All,0.04392172271610374,0.04392172271610374,0.0,,,0,,
2024-01-04,2024,1,1,2024-W01,CUST_E,P14,0.34,610.0,Diagnostics,Mixed Pattern,mixed,bundle,mixed_ambiguous,All,0.09135255806076893,0.09135255806076893,0.0,,,0,,
